entity_id,wikidata_id,name,description,types,aliases
4134,Q190631,Bette Midler,American singer and actress (born 1945),Q5,The Divine Miss M
4135,Q190643,Platoon,1986 film directed by Oliver Stone,Q11424,
4136,Q1906857,mechanical engineer,specialized engineer,Q28640|Q189533|Q108300140,mechanical engineers
4137,Q19069,The Magnificent Seven,1960 American western film directed by John Sturges,Q11424,Magnificent Seven
4138,Q19074,Samuel P. Huntington,American political scientist (1927–2008),Q5,"Samuel Huntington, Samuel Phillips Huntington"
4139,Q190765,1492 – Conquest of Paradise,1992 film by Ridley Scott,Q11424,1492: Conquest of Paradise
4140,Q190770,Philip W. Anderson,American physicist (1923-2020),Q5,"Philip Anderson, P. Anderson, P. W. Anderson, Philip Warren Anderson"
4141,Q190772,Siméon Denis Poisson,"French mathematician, mechanician and physicist (1781–1840)",Q5,"Denis Poisson, Simeon Denis Poisson, Simeon-Denis Poisson"
4142,Q190828,Petah Tikva,"city in the Central District of Israel, part of the Tel Aviv metropolitan area",Q515|Q138019182,"Petach Tikva, Petach Tikvah, Petah Tiqwa, Petaḥ Tiqwa, Petah-Tikva"
4143,Q190884,Victor Chernomyrdin,Russian diplomat and politician (1938-2010),Q5,Victor Stepanovich Chernomyrdin
4144,Q19089,GoldenEye,1995 film by Martin Campbell,Q11424,
4145,Q190908,Seven,1995 film by David Fincher,Q11424,Se7en
4146,Q1909248,Matt Munisteri,"American musician, banjoist and songwriter",Q5,
4147,Q1909258,Matt Noveskey,American musician,Q5,William Matthew Noveskey
4148,Q190944,Jean Bodin,"French jurist, witchcraft theorist and political philosopher (1529 or 1530–1596)",Q5,
4149,Q190956,Amadeus,1984 film directed by Miloš Forman,Q11424,
4150,Q190972,Jim Parsons,American actor (born 1973),Q5,James Joseph Parsons
4151,Q190994,Sissy Spacek,American actress,Q5,Rainbo
4152,Q190998,Anjelica Huston,American actress (born 1951),Q5,Angelica Huston
4153,Q191,Estonia,country in Northern Europe,Q6256|Q7270|Q179164|Q3624078|Q63791824,"Eesti, ee, Estland, Eesti Vabariik, Republic of Estonia"
4154,Q191020,Gary Becker,American economist (1930-2014),Q5,Gary Stanley Becker
4155,Q191023,Dylan Thomas,Welsh poet and writer (1914–1953),Q5,Dylan Marlais Thomas
4156,Q191026,Francis Galton,"British eugenist, polymath, and behavioural geneticist (1822–1911)",Q5,"F. G., Sir Francis Galton, Sir Francis Galton, 1st Bt."
4157,Q191027,Patricia Neal,American stage and film actress (1926-2010),Q5,Patsy Louise Neal
4158,Q191037,Jim Henson,American puppeteer (1936–1990),Q5,James Maury Henson
4159,Q191040,Mr. & Mrs. Smith,2005 film by Doug Liman,Q11424,Mr. and Mrs. Smith
4160,Q191064,Liv Ullmann,"Norwegian actress, director, and screenwriter (born 1938)",Q5,"Johanne Liv Ullmann, Liv Johanne Ullmann"
4161,Q191074,Babel,2006 film directed by Alejandro González Iñárritu,Q11424,BlackSheep
4162,Q191077,Kingdom of Yugoslavia,the official name of Yugoslavia during the period of 1929–1941 (de facto)/1945 (de jure),Q3024240,"Yugoslavia, Jugoslavija"
4163,Q191084,Val Kilmer,American actor (1959–2025),Q5,Val Edward Kilmer
4164,Q191088,Joe Jonas,"American singer, actor and musician",Q5,"Joseph Jonas, Joseph Adam Jonas"
4165,Q191100,Transformers: Revenge of the Fallen,2009 science fiction film by Michael Bay,Q11424,Transformers 2: Revenge of the Fallen
4166,Q191104,Sean Bean,English actor,Q5,Shaun Mark Bean
4167,Q191123,Levi Eshkol,"Israeli politician, a founder of the Israeli Labor Party and Prime Minister (1895-1969)",Q5,"Levi Eschol, Levi Shkolnik"
4168,Q191132,Harvey Keitel,American actor,Q5,Harvey Johannes Keitel
4169,Q1911321,Maurice Frydman,Indian activist (1901–1976),Q5,
4170,Q1911440,Maurice Stern,American opera singer,Q5,"Maurice Lampi, Mauro Lampi"
4171,Q191305,Q191305,"French writer, poet, essayist and translator (1808–1855)",Q5,"Gérard Labrunie, Jerar de Nerval"
4172,Q191384,International Bank for Reconstruction and Development,"international financial institutions, sells loans to middle-income developing countries, part of the World Bank Group",Q105758271,IBRD
4173,Q191408,Francis Poulenc,French composer and pianist (1899–1963),Q5,Francis Jean Marcel Poulenc
4174,Q191479,Tadeusz Kościuszko,"Polish, Lithuanian and American military leader (1746–1817)",Q5,"Tadeusz Kosciuszko, Andrzej Tadeusz Bonawentura Kościuszko, Tadeusz Andrzej Bonawentura Kościuszko, Thaddeus Kosciusko, Thaddeus Kosciuszko"
4175,Q191480,Ivan Krylov,Russian writer (1769–1844),Q5,"Ivan Andreevich Krilof, Ivan Andreyevich Krylov, Navi Volyrk, Ivan Krilov"
4176,Q191489,melodrama,dramatic work that exaggerates plot and characters in order to appeal to the emotions,Q7777573|Q108465955,melodramatic play
4177,Q191543,Terminator Salvation,2009 American film by McG,Q11424|Q17123180,"T4, Terminator: Salvation, Terminator 4"
4178,Q191582,COMECON,former International Organization,Q484652,"CEMA, Comecon, CAME, CMEA, Council for Mutual Economic Assistance"
4179,Q191583,Royal Swedish Academy of Sciences,Sweden's national academy of sciences,Q41176|Q414147|Q1310653|Q1966910,"Kungliga Vetenskapsakademien, RSAS"
4180,Q191598,Nikolay Karamzin,"Russian writer, poet, critic",Q5,"Karamsin, Nikolay Mikhailovich Karamzin"
4181,Q191644,Eva Green,French actress,Q5,Eva Gaëlle Green
4182,Q191702,Semyon Timoshenko,Soviet military commander (1895-1970),Q5,"Semën Konstantinovič Timošenko, Semyon Konstantinovich Timoshenko"
4183,Q191719,Q191719,American actress and singer,Q5,
4184,Q191734,Gregory of Nyssa,bishop of Nyssa,Q5,"Gregorius, Gregorius Nyssenus, St. Gregory of Nyssa"
4185,Q191755,Jim Jarmusch,"American film director, screenwriter and actor",Q5,"James Roberto ""Jim"" Jarmusch, James Roberto Jarmusch"
4186,Q191819,George Martin,English record producer (1926–2016),Q5,"Sir George Henry Martin, Sir George Martin"
4187,Q191842,Jesse McCartney,American singer and actor,Q5,Jesse Abraham Arthur McCartney
4188,Q191850,Tommaso Campanella,"Italian philosopher, theologian, astrologer, and poet (1568-1639)",Q5,
4189,Q19190,Rupert Grint,English actor (born 1988),Q5,Rupert Alexander Lloyd Grint
4190,Q191966,Gene Wilder,American actor (1933–2016),Q5,Jerome Silberman
4191,Q191974,Raymond Poincaré,"French statesman and lawyer, President of France (1860–1934)",Q5,Raymond Nicolas Landry Poincaré
4192,Q19198,Chester Bennington,"American singer, songwriter and musician (1976–2017)",Q5,Chester Charles Bennington
4193,Q19199,Brad Delson,American guitarist and rock musician,Q5,"Bradford Delson, Bradford Philip Delson"
4194,Q191999,Robert McNamara,American businessman and Secretary of Defense (1916-2009),Q5,"McNamara, Robert S. McNamara, Robert Strange McNamara"
4195,Q19200,Joe Hahn,American musician,Q5,"Joseph Hahn, Joseph ""Joe"" Hahn"
4196,Q19201,Mike Shinoda,"American musician, rapper, singer and songwriter",Q5,"Kenji Shinoda, M. Shinoda, Michael Kenji Shinoda, Michael Shinoda"
4197,Q192022,Broken Embraces,2009 film by Pedro Almodóvar,Q11424,Los abrazos rotos
4198,Q19204627,American football player,athlete who plays American football,Q28640,"football player, footballer, American footballer, player of American football"
4199,Q192052,Peter Facinelli,American actor,Q5,Peter Alexander Joseph Facinelli Jr
4200,Q192069,Enid Blyton,English author (1897–1968),Q5,"Enid (Mary) Blyton, Enid Mary Blyton, Mary Pollock"
4201,Q192073,Little Miss Sunshine,2006 film by Jonathan Dayton and Valerie Faris,Q11424,
4202,Q192088,Eton College,"school in Windsor and Maidenhead, UK",Q269770|Q1713379|Q1972829|Q2418495,"Eton, King's College of Our Lady of Eton beside Windsor, Kynge's College of Our Ladye of Eton besyde Windesore, The Kynge’s College of our Ladye of Eton besyde Windesore"
4203,Q192115,Sin City,2005 film directed by Frank Miller and Robert Rodriguez,Q11424,Frank Miller's Sin City
4204,Q192145,Herman Hollerith,American statistician and inventor（1860-1929）,Q5,
4205,Q192160,The Limits of Control,2009 film directed by Jim Jarmusch,Q11424,Limits of Control
4206,Q192165,Danny Glover,American actor (born 1946),Q5,"Daniel Lebern Glover, Danny Lebern Glover"
4207,Q192185,Aaron Copland,"American composer, composition teacher, writer, and conductor (1900-1990)",Q5,
4208,Q192207,Aurobindo Ghosh,"Indian Bengali philosopher, yogi, maharishi, poet and nationalist (1872–1950)",Q5,"Aurobindo, A.A.Ghosh, A.G., Aravinda Ackroyd Ghose, Aurobindo Ghose, Maharshi Aravind Babu, Orobindo Ghosh, Shri Aurobindo, Sri Aurobindo, Sri Aurobindo Ghose, Sri Orobindo"
4209,Q192214,René Goscinny,French comic book artist and author (1926-1977),Q5,"R. Goscinny, Rene Goscinny"
4210,Q192239,historical novel,literary genre,Q108317211|Q108368282,historical novella
4211,Q192279,Aleksey Tolstoy,Russian-Soviet writer (1883-1945),Q5,"Aleksey Nikolaevich Tolstoy, Alexei Nikolayevich Tolstoy"
4212,Q192301,Broken Flowers,2005 film by Jim Jarmusch,Q11424,
4213,Q192331,Nikolay Chernyshevsky,Russian writer and nihilist philosopher (1828–1889),Q5,"N. G. Chernyshevsky, Nikolai Tschernischevski, Nikolay Gavrilovich Chernyshevsky"
4214,Q192334,University of North Carolina at Chapel Hill,"public research university in Chapel Hill, North Carolina, United States",Q23002039|Q62078547,"UNC, University of North Carolina, UNC Chapel Hill, UNC-CH, UNC-Chapel Hill, UNCCH, University of North Carolina–Chapel Hill, University of North Carolina at Chapel Hill for its Department of Romance Studies"
4215,Q192348,Benedetto Croce,Italian philosopher (1866-1952),Q5,
4216,Q192374,Marsilio Ficino,Italian philosopher and Catholic priest (1433–1499),Q5,"Marcile Ficin, Marcilio Ficino, Marsiglio Ficini, Marsiglio Ficino, Marsile Ficin, Marsilii Fichino, Marsiliĭ Fichino, Marsiliī Fichino, Marsilio Ficinio, Marsilius Feghinensis, Marsilius Ficinius, Marsilius Ficinus, Marsilius Vicinus, Marsille Ficin, Marsillio Ficino"
4217,Q192402,Rufus Wainwright,American-Canadian singer-songwriter and composer,Q5,Rufus McGarrigle Wainwright
4218,Q192409,Down by Law,1986 film by Jim Jarmusch,Q11424,
4219,Q192410,Jennifer Hudson,"American singer, actress, model and spokesperson",Q5,"J.Hud, Jennifer Kate Hudson"
4220,Q19242,Bill Anders,American astronaut and lunar explorer (1933–2024),Q5,"William Anders, Bill A. Anders, William A. Anders, William Alison Anders"
4221,Q192442,Nikolay Przhevalsky,"Russian soldier, explorer, & geographer (1839-1888)",Q5,"N. M. Prejevalsky, N. M. Prejvalsky, Nicholas Prejevalski, Nicholas Prejevalsky, Nicholas Przewalski, Nicholas Przhevalski, Nikolai Michailowicz Przewalski, Nikolai Mikhailovich Prejevalski, Nikolai Mikhailovich Prejevalsky, Nikolai Mikhailovich Prjevalsky, Nikolai Mikhailovich Przhevalsky, Nikolai Prejevalski, Nikolai Prejevalsky, Nikolai Prejvalsky, Nikolai Prjevalsky, Nikolai Przewalski, Nikolai Przhevalsky, Nikolaj Michajlowicz Przewalski, Nikolaj Przewalski, Nikolay Mikhaylovich Przhevalsky, Prejevalsky, Prejvalsky, Przevalski, Przevalsky, Przew., Przhevalski, Przhevalsky"
4222,Q192474,Jeff Beck,English guitarist (1944–2023),Q5,Geoffrey Arnold Beck
4223,Q192515,Jason Mraz,American singer-songwriter,Q5,Jason Thomas Mraz
4224,Q192529,Andrés Segovia,Spanish guitarist (1893–1987),Q5,"Andrés Segovia Torres, 1st Marquis of Salobreña"
4225,Q1925963,graphic artist,"artist who makes lines on paper through various drawing and print techniques, or the digital equivalent",Q28640,graphical artist
4226,Q192634,Bülent Ecevit,Prime Minister of Turkey (1925–2006),Q5,"Conqueror of Cyprus, Ecevit the Populist, Mustafa Bülent Ecevit"
4227,Q192643,Aaron Eckhart,American actor,Q5,Aaron Edward Eckhart
4228,Q192655,Lara Fabian,Belgian and Canadian singer and songwriter,Q5,"Lara Crokaert, Lara Sophie Katy Crokaert"
4229,Q192668,Nick Cave,Australian musician and singer,Q5,Nicholas Edward Cave
4230,Q192682,Ryan Reynolds,"Canadian actor, comedian, screenwriter, and film producer",Q5,"Golfian, Ryan Rodney Reynolds"
4231,Q192686,Prometheus,2012 film directed by Ridley Scott,Q11424,
4232,Q192706,William Gilbert,"English physician, physicist and natural philosopher (1544-1603)",Q5,"William Gilberd, William Gilbert of Colchester, William Gylberde"
4233,Q192724,Iron Man,2008 film directed by Jon Favreau,Q11424,
4234,Q1927260,Michael De Cock,Belgian actor,Q5,
4235,Q192762,Darren Aronofsky,American filmmaker (born 1969),Q5,
4236,Q192775,University of Glasgow,"university in Glasgow, Scotland, United Kingdom, founded in 1451",Q163740|Q45400320|Q62078547,"gla.ac.uk, Glasgow Uni, Glasgow University"
4237,Q1928051,Michael Johnson,"American pop, country and folk singer-songwriter and guitarist (1944-2017)",Q5,Michael Jay Johnson
4238,Q192807,Ramat Gan,city in the Tel Aviv District of Israel,Q515|Q3154693,
4239,Q192812,Hayden Christensen,Canadian actor (born 1981),Q5,
4240,Q192821,French Communist Party,French political party,Q7278|Q233591,"PCF, Communist Party of France, Parti communiste français"
4241,Q1928543,Michael Martin Murphey,American singer-songwriter,Q5,Michael Murphey
4242,Q192881,tragicomedy,genre of drama and literature,Q223393|Q7777573,
4243,Q192885,Vissarion Belinsky,Russian literary critic,Q5,"Vissarion Grigoryevich Belinsky, Vissárion Grigoryevich Belinsky"
4244,Q192887,Alexis Bledel,American actress,Q5,Kimberly Alexis Bledel
4245,Q1928973,Ryo Owatari,Japanese musician,Q5,
4246,Q1928989,Treaty on Open Skies,international treaty promoting openness and transparency of military forces and activities,Q131569,
4247,Q192912,Stephen Fry,"British comedian, actor, writer, presenter, and activist",Q5,Stephen John Fry
4248,Q1929135,Ray Price,"American country music singer, songwriter, and guitarist (1926–2013)",Q5,"Cherokee Cowboy, Noble Ray Price, The Cherokee Cowboy"
4249,Q192934,Angels & Demons,2009 film directed by Ron Howard,Q11424,Angels and Demons
4250,Q192964,Istanbul University,"public university in Istanbul, Turkey",Q875538|Q45400320,"İstanbul Üniversitesi, University of Istanbul"
4251,Q192979,Clash of the Titans,2010 film by Louis Leterrier,Q11424,
4252,Q1930,Ottawa,capital city of Canada,Q257391|Q486972|Q1549591|Q14762300|Q17457753|Q18810091,"City of Ottawa, Ottawa, ON, Ottawa, Ontario"
4253,Q193018,Gianni Rodari,Italian writer and journalist (1920–1980),Q5,"Benelux, Giovanni Rodari"
4254,Q1930187,journalist,"person who collects, writes, and distributes news and other information",Q28640|Q4164871|Q12737077|Q108300140,journo
4255,Q193023,Capitol Records,American record label,Q18127,Capitol
4256,Q193035,Sergio Badilla Castillo,Chilean poet,Q5,
4257,Q193048,Laurence Fishburne,American actor,Q5,"Larry Fishburne, Laurence John Fishburne III"
4258,Q193052,Pau Gasol,Spanish basketball player,Q5,
4259,Q193066,Breakfast at Tiffany's,1961 film directed by Blake Edwards,Q11424,
4260,Q1930688,Michel Chevalier,French statesman (1806–1879),Q5,
4261,Q193070,Matt Dillon,American actor,Q5,Matthew Raymond Dillon
4262,Q1930839,Michel Michelet,Ukrainian musician & composer (1894-1995),Q5,
4263,Q1930941,Michel Vinaver,French writer (1927–2022),Q5,
4264,Q193105,James Woods,American actor,Q5,James Howard Woods
4265,Q193111,Mika Waltari,Finnish writer (1908–1979),Q5,"Nauticus, Leo Rainio, Kristian Korppi, Leo Arne, M. Ritvala, Mika Toimi Waltari"
4266,Q193116,Khaled Hosseini,Afghan novelist,Q5,
4267,Q193146,Anthony Perkins,American actor (1932–1992),Q5,
4268,Q193156,Ralph Nader,American lawyer and activist (born 1934),Q5,Nader
4269,Q1931654,Richard Fariña,"American folksinger, songwriter, poet and novelist (1937–1966)",Q5,Richard George Fariña
4270,Q1931736,O.S.T.R.,Polish rapper and record producer,Q5,"Adam Ostrowski, Adam Andrzej Ostrowski"
4271,Q193196,University College London,"public research university in London, England, United Kingdom",Q38723|Q4671277|Q5341295|Q15407956,"UCL, London University, London's Global University, U.C.L., Univ. College London, University College, London"
4272,Q193207,ambient music,music genre,Q188451,ambient
4273,Q193212,Seann William Scott,American actor (born 1976),Q5,
4274,Q193236,Gabriele D'Annunzio,"Italian writer, poet, playwright, soldier and politician (1863-1938)",Q5,Gabriele d'Annunzio
4275,Q193257,Jean-François Lyotard,French philosopher (1924–1998),Q5,Jean François Lyotard
4276,Q193273,Goran Bregović,musician and composer from Bosnia and Herzegovina,Q5,
4277,Q193278,Lee Van Cleef,American actor (1925–1989),Q5,Clarence Leroy Van Cleef Jr.
4278,Q19330,Maxine Hong Kingston,Chinese American author,Q5,"Maxine Hong Kingston, Maxine Ting Ting Hong"
4279,Q193300,Osamu Tezuka,Japanese cartoonist and animator (1928–1989),Q5,Tezuka Osamu
4280,Q193338,Danny Elfman,American composer and musician (born 1953),Q5,
4281,Q1933397,Michael Moran,"British musician, songwriter and record producer (born 1948)",Q5,Mike Moran
4282,Q193346,Henning Mankell,"Swedish writer, human rights activist and dramatist (1948–2015)",Q5,Henning Georg Mankell
4283,Q193355,blues rock,music genre combining elements of blues and rock,Q188451,
4284,Q193357,Daphne du Maurier,British writer,Q5,"Dame Daphne Busson du Maurier, Dame Daphne du Maurier, Daphne Busson du Maurier Browning"
4285,Q193391,diplomat,person appointed by a state to conduct diplomacy with another state or international organization,Q28640|Q11488158,
4286,Q193397,Steve Vai,American guitarist,Q5,"Steven Siro Vai, Steven Vai"
4287,Q193405,Emil Cioran,Romanian-French philosopher and essayist (1911–1995),Q5,"Emil Mihai Cioran, Emil-Michel Cioran"
4288,Q193426,Nancy Reagan,First Lady of the United States from 1981 to 1989,Q5,"Nancy Davis, Anne Robbins, Anne Frances Robbins, Nancy Davis Reagan, Nancy Robbins"
4289,Q1934319,Milan Panić,Yugoslav politician,Q5,Milan Panic
4290,Q193458,Sienna Miller,British-American actress,Q5,"Sienna Rose Diana Miller, Sienna Rosie Diana Miller"
4291,Q193459,Noel Gallagher,British singer and guitarist,Q5,"Noel Thomas David Gallagher, Noel Thomas Gallagher"
4292,Q193478,Buda,"western part of Budapest, Hungary, former independent city",Q515,Ofen
4293,Q193482,Neve Campbell,Canadian actress,Q5,Neve Adrianne Campbell
4294,Q1934904,Zhukovsky Air Force Engineering Academy,Russian Air Force academy for training engineer personnel,Q55097243|Q96086516,
4295,Q1934911,Military Academy of the General Staff of the Armed Forces of Russia,senior staff college of the Russian Armed Forces,Q917182,
4296,Q193504,Vincent Cassel,French actor (born 1966),Q5,Vincent Crochon
4297,Q19350898,theoretical physicist,physicist who studies theoretical physics,Q28640,
4298,Q193509,Taylor Momsen,"American actress, singer and model",Q5,Taylor Michel Momsen
4299,Q193510,University of Padua,university in Italy,Q3918,"UNIPD, Universita degli Studi di Padova, Università degli Studi di Padova, Universita di Padova, Università di Padova, University of Padova, UPadua"
4300,Q193517,Emily Blunt,British actress (born 1983),Q5,Emily Olivia Laura Blunt
4301,Q19356,Pinocchio,2002 Italian film directed by Roberto Benigni,Q11424,
4302,Q193570,Sunset Boulevard,1950 film by Billy Wilder,Q11424,Sunset Blvd.
4303,Q193573,Moulin Rouge!,2001 film directed by Baz Luhrmann,Q11424,Moulin Rouge
4304,Q193606,horror literature,literary genre,Q223393|Q108329096,"horror fiction, literary horror fiction"
4305,Q193608,Carl Sandburg,American writer and editor (1878–1967),Q5,Carl August Sandburg
4306,Q193628,Sofia Coppola,American filmmaker (born 1971),Q5,Sofia Carmina Coppola
4307,Q19364345,Katerina Tikhonova,second child and daughter of Vladimir Putin,Q5,"Katerina Vladimirovna Tikhonova, Ekaterina Vladimirovna Shamalova, Ekaterina Vladimirovna Tikhonova"
4308,Q193659,James McAvoy,Scottish actor,Q5,
4309,Q193660,Ramon Llull,Majorcan writer and philosopher (c.1232–1315/6),Q5,"Illuminated Doctor, Raimondo Lullo, Raimundo Lulio, Raimundus Lullus, Ramón Llull, Raymond Lull, Raymond Lulle, Raymond Lully, Raymondus Lullus, Raymundus Lullius"
4310,Q193668,Benicio del Toro,Puerto Rican actor,Q5,Benicio Del Toro
4311,Q193670,Frantz Fanon,French West Indian psychiatrist and philosopher (1925–1961),Q5,"Frantz Omar Fanon, Ibrahim Fanon, Ibrahim Omar Fanon"
4312,Q19367312,crime thriller film,film genre,Q201658,crime thriller
4313,Q193674,Henri Troyat,French Armenian writer,Q5,Henry Troyat
4314,Q193676,Ludacris,American rapper and actor (born 1977),Q5,"Luda, Chris Bridges, Chris Lova Lova, Christopher Brian Bridges, Christopher Bridges"
4315,Q193695,The Wizard of Oz,1939 movie based on the book by L. Frank Baum,Q11424,Wizard of Oz
4316,Q193710,Ne-Yo,American R&B singer,Q5,"Gogo, Shaffer Chimere Smith, Shaffer Smith"
4317,Q193714,Mandatory Palestine,League of Nations Mandate in the Middle East under British administration (1920–1948),Q426759|Q2577883|Q4835091,"Palestine, British Mandate of Palestine, British Palestine, Mandate Palestine, Mandate of Palestine, Mandatory of Palestine"
4318,Q193727,Johns Hopkins University,"private university in Baltimore, Maryland, USA",Q31855|Q902104|Q23002054|Q45400320,"Hopkins, JHU, Johns Hopkins, The Johns Hopkins University"
4319,Q193744,Tori Amos,American singer-songwriter and pianist,Q5,"Ari Tomos, Ellen Amos, M. Ellen Amos, Myra Ellen Amos"
4320,Q1938003,Phi Beta Kappa Society,honor society for the liberal arts and sciences in the United States,Q43229|Q955824|Q9078534|Q96888669,"Phi Beta Kappa, The Phi Beta Kappa Society, United Chapters of Phi Beta Kappa, ΦBK, ΦΒΚ"
4321,Q193803,Roger Penrose,"English mathematical physicist, recreational mathematician and philosopher",Q5,"R. Penrose, Sir Roger Penrose"
4322,Q193815,Ryan Gosling,"Canadian actor, singer and musician",Q5,Ryan Thomas Gosling
4323,Q193835,Good Will Hunting,1997 film by Gus Van Sant,Q11424,
4324,Q193840,asphyxia,condition of severely deficient supply of oxygen to the body,Q1931388,"suffocation, asphyxiation, choking to death on one's own vomit"
4325,Q193857,Ben Jonson,"English playwright, poet, and actor (1572-1637)",Q5,"Benjamin Jonson, Ben: Ionſon"
4326,Q193871,Marshall McLuhan,"Canadian educator, philosopher, and scholar (1911–1980)",Q5,"Herbert Marshall McLuhan, Marshall Mac Luhan, Marshall MacLuhan"
4327,Q1938740,Nils Ericson,Swedish businessman (1802-1870),Q5,Nils Ericsson
4328,Q1939373,Rohan Marley,Son of Bob Marley,Q5,Rohan Anthony Marley
4329,Q1939469,Mitch Leigh,American composer (1928-2014),Q5,Irwin Michnik
4330,Q194045,Steven Tyler,American singer,Q5,"Steven Tallarico, Steven Victor Tallarico"
4331,Q19405,The Ninth Gate,1999 film directed by Roman Polanski,Q11424,"La Neuvieme Porte, La Neuvième Porte, Ninth Gate"
4332,Q1941315,Mo Udall,American politician (1922–1998),Q5,"Morris K. Udall, Morris King Udall, Morris Udall"
4333,Q194142,Friends with Money,2006 film by Nicole Holofcener,Q11424,
4334,Q194143,Bear Island,1979 film directed by Don Sharp,Q11424,
4335,Q194220,Nas,American rapper (born 1973),Q5,"Nas Escobar, Nasir bin Olu Dara Jones, Nasir Jones, Nasty Nas"
4336,Q194223,University of Buenos Aires,"public research university in Buenos Aires, Argentina",Q875538|Q45400320,Universidad de Buenos Aires
4337,Q1942336,Moe Koffman,Canadian musician (1928–2001),Q5,
4338,Q19425,Pyotr Vyazemsky,leading personality of the Golden Age of Russian poetry (1792–1878),Q5,"Petr Andreevich Viazemsky, Pyotr Andreyevich Vyazemsky"
4339,Q194280,Hugh Hefner,American businessman and magazine publisher (1926–2017),Q5,"Hef, Hugh M. Hefner, Hugh Marston Hefner"
4340,Q194287,Joe Satriani,American guitarist,Q5,Joseph Satriani
4341,Q194333,Billy Joel,"American singer, songwriter, and pianist (born 1949)",Q5,"BJ, The Piano Man, William M. Joel, William Martin ""Billy"" Joel"
4342,Q194346,The Musketeer,2001 film by Peter Hyams,Q11424,Musketeer
4343,Q194413,Pearl Harbor,2001 film by Michael Bay,Q11424,
4344,Q194419,Richard Branson,British business magnate,Q5,"Richard Charles Nicholas Branson, Sir Richard Branson, Sir Richard Charles Nicholas Branson"
4345,Q194420,16th arrondissement of Paris,"one of the 20 administrative districts of Paris, France",Q702842,
4346,Q194445,Cairo University,"public university with its main campus in Giza, Egypt",Q3918|Q875538,"CU, Egyptian University, cu.edu.eg, Fuad I University, King Fuad I University, University of Cairo"
4347,Q1944655,Monika Henzinger,German computer scientist,Q5,
4348,Q194638,Arnold Dolmetsch,French musician and instrument maker in England (1858-1940),Q5,"Eugene Arnold Dolmetsch, Eugène Arnold Dolmetsch"
4349,Q194696,Man on a Ledge,2012 film directed by Asger Leth,Q11424,
4350,Q194896,William Rees-Mogg,former editor of The Times (1928-2012),Q5,Lord Rees-Mogg
4351,Q194917,Nikolay Baskov,Russian singer,Q5,"Nikolay Victorovich Baskov, Nikolay Viktorovich Baskov, Nikolai Baskov, Nikolai Viktorovich Baskov"
4352,Q195008,Emir Rodríguez Monegal,"Uruguayan scholar, literary critic, and literary editor",Q5,Emir Rodriguez Monegal
4353,Q1950363,Mount Auburn Cemetery,"cemetery in Cambridge and Watertown, Massachusetts",Q2052698,"Mount Auburn Cemetery (Cambridge, Massachusetts), Stone's Farm, Sweet Auburn"
4354,Q19504,Fritz Lang,Austrian filmmaker (1890–1976),Q5,"Friedrich Christian Anton ""Fritz"" Lang, Friedrich Christian Anton Lang, Fritz Lang (1890–1976)"
4355,Q1950678,Charles Elachi,"Lebanese electrical engineer, JPL director",Q5,
4356,Q19526,Maya Angelou,"American poet, author, and civil rights activist (1928–2014)",Q5,"Marguerite Johnson, Maya Angelou, Marguerite Ann Johnson, Marguerite Anne Johnson, Marguerite Annie Johnson"
4357,Q195274,Little Women,1933 film by George Cukor,Q11424,
4358,Q1953,Yerevan,capital of Armenia,Q1549591|Q10864048|Q20724701,"Erevan, Iravan, Erivan, Irevan, The Pink City"
4359,Q195303,Barfly,1987 film by Barbet Schroeder,Q11424,
4360,Q195333,Dean Geyer,Australian singer-songwriter and actor,Q5,Dean Stanley Geyer
4361,Q195367,Dan Marino,"American football player, quarterback, Pro Football Hall of Fame member",Q5,"Daniel Constantine Marino Jr., Daniel Constantine Marino, Jr."
4362,Q195371,Cantinflas,"Mexican comic film actor, producer, and screenwriter (1911–1993)",Q5,"Mario Moreno, Mario Alfonso Moreno Reyes"
4363,Q195390,Alexander Berkman,Russian-American anarchist and writer (1870–1936),Q5,"Alexandre Berkman, Owsei Ossipowitsch Berkman"
4364,Q195402,What's New Pussycat?,1965 comedy film directed by Clive Donner,Q11424,"What's New, Pussycat?"
4365,Q19543,Hans Sachs,"German meistersinger (""mastersinger""), poet, playwright and shoemaker (1494–1576)",Q5,
4366,Q1954907,Robert Novak,American journalist and columnist (1931-2009),Q5,Robert David Sanders Novak
4367,Q1955150,musical instrument maker,manufacturer of musical instruments,Q28640,"instrument maker, instrument builder, instrument craft"
4368,Q195535,Jean-Marc Leclercq,French musician and Esperantist,Q5,JoMo
4369,Q1955997,Charles Coypeau d'Assoucy,French writer and composer,Q5,"Charles Coypeau, Charles Dassoucy, D'Assoucy"
4370,Q195616,Shashi Tharoor,"Indian politician, diplomat, author",Q5,Tharoor Shashi
4371,Q195710,Krull,1983 film by Peter Yates,Q11424,
4372,Q195718,Kristin Kreuk,Canadian actress,Q5,Kristin Laura Kreuk
4373,Q195788,Yasmine Hamdan,Lebanese singer,Q5,
4374,Q195949,Evan Almighty,2007 film by Tom Shadyac,Q11424,
4375,Q196004,From Dusk till Dawn,1996 film directed by Robert Rodriguez,Q11424,
4376,Q196080,Nicholas Woodeson,"English film, television and theatre actor",Q5,
4377,Q196103,Love Is All You Need,2012 film by Susanne Bier,Q11424,
4378,Q196159,Darya Dontsova,Russian writer,Q5,Агриппи́на Арка́дьевна Донцо́ва
